# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4558
#@/user_id	264d1fbf-0cd3-4191-8dba-a79a7265bcfc
fkfc 	鼓动	c=1 d=1 t=5075
flf 	雷	c=1 d=1 t=3729
fljn 	雷电	c=1 d=1 t=2534
flym 	协调	c=3 d=1.38798 t=5880
fm 	南	c=1 d=1 t=2258
fmrc 	南瓜	c=1 d=1 t=4751
fmu 	南	c=1 d=1 t=4749
fmud 	南翔	c=4 d=1.07761 t=5728
fn 	志	c=1 d=1 t=5233
fnif 	违法	c=4 d=2.06818 t=6061
fniy 	专注	c=1 d=1 t=1247
fnny 	专心	c=1 d=1 t=3601
fnog 	专业	c=1 d=1 t=4570
fntu 	专科	c=1 d=1 t=3536
fnud 	卖	c=4 d=1 t=4328
fnuj 	声音	c=5 d=1.31916 t=4720
fnw 	块	c=4 d=2.00377 t=4406
fp 	过	c=69 d=2.60098 t=5952
fpab 	过节	c=1 d=1 t=4770
fpad 	过期	c=2 d=1.81465 t=5915
fpih 	过滤	c=1 d=1 t=2204
fprv 	过热	c=1 d=1 t=64
fq 	无	c=9 d=1.18935 t=5752
fqb 	元	c=2 d=1.23108 t=5923
fqld 	无罪	c=1 d=1 t=501
fqng 	无情	c=1 d=1 t=5145
fqp 	远	c=2 d=1.99501 t=4799
fqsm 	无机	c=1 d=1.09005 t=4373
fqtd 	无敌	c=1 d=1 t=2330
fqu 	均	c=1 d=1 t=5675
fquj 	无意	c=1 d=1 t=2206
fquq 	无效	c=1 d=1 t=5852
ft 	才	c=13 d=1.24391 t=5793
ftg 	考	c=5 d=1.94403 t=4726
ftha 	考虑	c=2 d=1.99501 t=5329
ftih 	老婆	c=5 d=1.00003 t=4856
ftj 	者	c=1 d=1 t=5027
ftjb 	都	c=87 d=1.5832 t=5931
fttk 	教程	c=1 d=1 t=3719
ftvc 	老妈	c=1 d=0.108396 t=6083
ftwc 	老公	c=3 d=1.99597 t=4442
ftx 	老	c=8 d=1.18168 t=6424
ftxa 	教练	c=2 d=1.71177 t=5197
ftya 	考试	c=1 d=1 t=4634
ftyc 	教育	c=3 d=1.00003 t=6828
fufe 	垃圾	c=1 d=1 t=4606
fwrq 	替换	c=1 d=1 t=3749
fwy 	堆	c=1 d=1 t=2400
fwyc 	零	c=1 d=1 t=4454
fxdc 	二维码	c=1 d=1 t=3059
fym 	坑	c=1 d=1 t=5013
g 	一	c=183 d=4.52567 t=5967
ga 	开	c=40 d=1.5291 t=5731
gaif 	刑法	c=1 d=1 t=5999
gaip 	开学	c=1 d=1 t=5005
gais 	开河	c=1 d=1 t=6144
gaj 	弄	c=12 d=2.20964 t=6109
gakg 	型号	c=1 d=1 t=3599
gavc 	开始	c=9 d=2.31044 t=5170
gayt 	开放	c=1 d=1 t=4844
gc 	到	c=58 d=1.85235 t=5766
gcad 	到期	c=1 d=1 t=6185
gcg 	玛	c=1 d=1 t=4608
gcgf 	至于	c=1 d=1 t=4142
gcit 	至少	c=1 d=1 t=2247
gcth 	到处	c=1 d=1 t=4069
gcwy 	至今	c=2 d=1.85642 t=5890
gcyq 	到底	c=1 d=1 t=6934
gd 	天	c=56 d=1.9307 t=5930
ge 	表	c=1 d=1 t=4367
geig 	青浦	c=2 d=1.92774 t=6021
geng 	表情	c=1 d=1 t=1809
geqy 	青岛	c=1 d=1 t=3496
geuj 	静音	c=1 d=1 t=4711
gf 	于	c=1 d=1 t=75
gfi 	球	c=1 d=1 t=352
gfiy 	球	c=1 d=1 t=5446
gfq 	玩	c=7 d=1.95125 t=6859
gfuj 	玩意	c=2 d=1.00698 t=2095
gg 	五	c=7 d=2.90919 t=5145
ggft 	王者	c=1 d=1 t=3866
ggg 	王	c=4 d=1.03881 t=6021
ggi 	环	c=1 d=1 t=337
gh 	下	c=66 d=3.55793 t=5968
ghaa 	正式	c=2 d=1.03096 t=4684
ghd 	正	c=10 d=1.99503 t=4597
ghdm 	下面	c=1 d=0.102699 t=3404
ghfa 	下载	c=2 d=1.00159 t=5794
ghfg 	下雨	c=2 d=1.43823 t=5079
ghif 	政法	c=2 d=1.32956 t=3551
ghip 	正常	c=5 d=2.06785 t=4523
ghmf 	下周	c=4 d=0.18046 t=7134
ghtf 	下午	c=5 d=2.909 t=4900
ghyw 	政府	c=1 d=1 t=5552
giap 	麦当劳	c=1 d=1 t=5378
gie 	甭	c=1 d=1 t=354
gip 	还	c=132 d=5.77376 t=5941
gjf 	理	c=11 d=2.79605 t=4935
gjmh 	理由	c=1 d=1 t=6019
gjq 	更	c=1 d=1 t=2894
gjus 	更新	c=6 d=1.00046 t=4600
gk 	事	c=21 d=4.04556 t=5507
gkip 	速	c=1 d=1 t=6748
gkl 	副	c=1 d=1 t=2888
gkm 	融	c=1 d=1 t=2282
gkmh 	事由	c=1 d=1 t=5191
gkp 	带	c=10 d=2.67127 t=4874
gkpu 	事实	c=1 d=1 t=3699
gkwr 	事件	c=2 d=1.36059 t=6130
gl 	画	c=1 d=1 t=5719
gm 	现	c=36 d=1.67011 t=5833
gmd 	瑞	c=1 d=1 t=5797
gmf 	再	c=38 d=1.18328 t=5955
gmqq 	现金	c=1 d=1 t=6056
gmwt 	责任	c=2 d=1.75957 t=6042
gmww 	两	c=18 d=1.02748 t=5929
gmwx 	现货	c=1 d=1 t=1104
gn 	与	c=3 d=1.23458 t=5666
go 	来	c=84 d=2.26959 t=5953
gogn 	恶	c=1 d=1 t=4778
gqge 	列表	c=1 d=1 t=1098
gqx 	死	c=3 d=1 t=5760
gu 	平	c=2 d=1 t=4839
gufq 	平均	c=1 d=1 t=2485
gujf 	平时	c=3 d=0.103346 t=4840
gw 	珍	c=1 d=1 t=5354
gxsf 	素材	c=1 d=1 t=4347
gylg 	班车	c=1 d=1 t=2170
gyt 	班	c=5 d=1.99897 t=4360
h 	上	c=88 d=3.23032 t=5795
ha 	虎	c=1 d=1 t=5744
hang 	虛	c=1 d=1 t=6075
hc 	皮	c=2 d=1.99501 t=4618
hcef 	皮肤	c=1 d=1 t=4762
he 	肯	c=1 d=1 t=5380
hepg 	肯定	c=5 d=1.00075 t=5857
hfna 	歧异	c=1 d=1 t=1773
hhhh 	目	c=1 d=1 t=6970
hhit 	上海	c=20 d=1.00121 t=5993
hhso 	上楼	c=1 d=1 t=1383
hhtf 	上午	c=11 d=1.0011 t=6371
hhu 	卡	c=3 d=1.41271 t=5282
hhys 	上床	c=1 d=1 t=725
hi 	步	c=2 d=1.99501 t=3722
hjbb 	桌子	c=3 d=0.100319 t=5216
hjdm 	桌面	c=2 d=1.32956 t=462
hjj 	卓	c=2 d=1.9802 t=2052
hjs 	桌	c=9 d=1 t=5215
hk 	占	c=3 d=1.41479 t=5857
hkdg 	占厂	c=1 d=1 t=5889
hko 	点	c=51 d=2.79119 t=4557
hqv 	睁	c=1 d=1 t=4574
hs 	盯	c=1 d=1 t=7013
ht 	睡	c=13 d=2.2328 t=4532
htip 	睡觉	c=4 d=1 t=5162
htvb 	睡好	c=1 d=1 t=4494
hv 	眼	c=1 d=1 t=1582
hve 	眼	c=3 d=1.00667 t=4720
hvqu 	眼镜	c=2 d=1.98511 t=4570
hvrh 	眼看	c=1 d=1 t=3732
hwxf 	具结	c=1 d=1 t=5762
hx 	此	c=1 d=1 t=5962
hxf 	些	c=11 d=2.45261 t=5763
i 	不	c=276 d=7.30533 t=5932
